model,n,exceptions,expected_exc,kupiec_LR,kupiec_pvalue,christoffersen_LR,christoffersen_pvalue
VaR_hist,2543,41,25.43,8.123176293187747,0.004370292340421411,12.528931847336935,0.00040069881069892954
VaR_norm,2543,72,25.43,57.59287476741211,3.219646771412954e-14,11.008361883301404,0.0009070177035086502
VaR_ewma,2543,61,25.43,36.10814441481119,1.8666505008368972e-09,3.191510806728161,0.07402157193757553
